library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
python-calamine,dimensions,0.064375,0.068375,,,,,,,,
calamine,dimensions,0.389125,0.425459,,,,,,,,
calamine-styled,dimensions,0.674375,0.706584,,,,,,,,
rust_xlsxwriter,dimensions,,,,,,3.022666,3.149,,,
wolfxl,dimensions,0.68725,0.773291,,,,3.043458,3.166167,,,
pylightxl,dimensions,1.03,1.25025,,,,0.288416,0.393542,,,
xlrd,dimensions,,,,,,,,,,
pyexcel,dimensions,1.219458,1.525583,,,,1.689292,2.030208,,,
xlwt,dimensions,,,,,,0.158583,0.244958,,,
pandas,dimensions,1.3045,1.836167,,,,1.677833,1.972083,,,
xlsxwriter-constmem,dimensions,,,,,,2.441708,2.897083,,,
openpyxl-readonly,dimensions,0.900834,1.156708,,,,,,,,
polars,dimensions,0.339625,0.437416,,,,,,,,
tablib,dimensions,1.098125,1.384958,,,,1.567958,1.818291,,,
openpyxl,multiple_sheets,1.484167,1.905208,,,,2.52325,3.661791,,,
xlsxwriter,multiple_sheets,,,,,,3.451958,4.350292,,,
python-calamine,multiple_sheets,0.075375,0.1185,,,,,,,,
calamine,multiple_sheets,0.420625,0.461833,,,,,,,,
calamine-styled,multiple_sheets,0.437958,0.561708,,,,,,,,
rust_xlsxwriter,multiple_sheets,,,,,,3.907125,4.237166,,,
wolfxl,multiple_sheets,0.432917,0.664083,,,,3.895541,4.252041,,,
pylightxl,multiple_sheets,1.505625,1.817042,,,,0.385667,0.43775,,,
xlrd,multiple_sheets,,,,,,,,,,
pyexcel,multiple_sheets,1.707708,2.655666,,,,3.027625,4.898417,,,
xlwt,multiple_sheets,,,,,,0.206916,0.222167,,,
pandas,multiple_sheets,2.190833,2.78725,,,,3.587875,5.277833,,,
xlsxwriter-constmem,multiple_sheets,,,,,,3.91425,6.164,,,
openpyxl-readonly,multiple_sheets,1.189959,1.601625,,,,,,,,
polars,multiple_sheets,0.853667,1.4995,,,,,,,,
tablib,multiple_sheets,1.631042,2.101959,,,,2.612459,3.298916,,,
openpyxl,merged_cells,1.58175,1.955042,,,,2.048625,2.47675,,,
xlsxwriter,merged_cells,,,,,,2.509208,3.133917,,,
python-calamine,merged_cells,0.064625,0.071375,,,,,,,,
calamine,merged_cells,0.417166,0.456875,,,,,,,,
calamine-styled,merged_cells,1.447375,1.719042,,,,,,,,
rust_xlsxwriter,merged_cells,,,,,,3.39225,3.582292,,,
wolfxl,merged_cells,1.496666,1.625584,,,,3.39125,3.515583,,,
pylightxl,merged_cells,1.11225,1.401333,,,,0.3645,0.494375,,,
xlrd,merged_cells,,,,,,,,,,
pyexcel,merged_cells,1.537875,1.968417,,,,1.680375,2.12025,,,
xlwt,merged_cells,,,,,,0.221875,0.305959,,,
pandas,merged_cells,1.427625,1.968291,,,,1.884125,2.532417,,,
xlsxwriter-constmem,merged_cells,,,,,,2.266958,3.06575,,,
openpyxl-readonly,merged_cells,1.002875,1.250792,,,,,,,,
polars,merged_cells,0.302917,0.38125,,,,,,,,
tablib,merged_cells,1.079625,1.402,,,,1.576625,1.874208,,,
openpyxl,conditional_formatting,1.594917,1.935125,,,,2.39675,2.9435,,,
xlsxwriter,conditional_formatting,,,,,,2.594625,3.84675,,,
python-calamine,conditional_formatting,0.057584,0.059375,,,,,,,,
calamine,conditional_formatting,0.379542,0.409833,,,,,,,,
calamine-styled,conditional_formatting,1.069958,1.242917,,,,,,,,
rust_xlsxwriter,conditional_formatting,,,,,,3.482709,5.304625,,,
wolfxl,conditional_formatting,1.073167,1.327667,,,,3.345125,4.085583,,,
pylightxl,conditional_formatting,,,,,,0.277875,0.37775,,,
xlrd,conditional_formatting,,,,,,,,,,
pyexcel,conditional_formatting,1.545458,2.348417,,,,1.679916,2.070583,,,
xlwt,conditional_formatting,,,,,,0.149209,0.15525,,,
pandas,conditional_formatting,1.729541,2.007375,,,,1.664417,2.018,,,
xlsxwriter-constmem,conditional_formatting,,,,,,2.220917,2.858708,,,
openpyxl-readonly,conditional_formatting,0.992125,1.247667,,,,,,,,
polars,conditional_formatting,0.332958,0.436334,,,,,,,,
tablib,conditional_formatting,1.398792,1.561208,,,,1.526708,1.652458,,,
openpyxl,data_validation,1.250583,1.401833,,,,1.341709,1.560709,,,
xlsxwriter,data_validation,,,,,,1.827292,2.189917,,,
python-calamine,data_validation,0.052833,0.054458,,,,,,,,
calamine,data_validation,0.358875,0.361625,,,,,,,,
calamine-styled,data_validation,0.798209,0.814583,,,,,,,,
rust_xlsxwriter,data_validation,,,,,,2.82925,2.973375,,,
wolfxl,data_validation,0.804084,0.914458,,,,2.8805,3.034958,,,
pylightxl,data_validation,,,,,,0.253667,0.265666,,,
xlrd,data_validation,,,,,,,,,,
pyexcel,data_validation,1.415083,1.836166,,,,1.389042,2.110375,,,
xlwt,data_validation,,,,,,0.146333,0.157375,,,
pandas,data_validation,1.810417,2.318541,,,,1.513958,1.966,,,
xlsxwriter-constmem,data_validation,,,,,,2.453583,2.933667,,,
openpyxl-readonly,data_validation,0.965792,1.418958,,,,,,,,
polars,data_validation,0.489167,0.610375,,,,,,,,
tablib,data_validation,1.363875,1.814417,,,,1.396833,1.887125,,,
openpyxl,hyperlinks,1.258417,1.773042,,,,1.597875,2.053417,,,
xlsxwriter,hyperlinks,,,,,,2.619708,2.844125,,,
python-calamine,hyperlinks,0.057417,0.059417,,,,,,,,
calamine,hyperlinks,0.355041,0.377125,,,,,,,,
calamine-styled,hyperlinks,1.370875,1.530875,,,,,,,,
rust_xlsxwriter,hyperlinks,,,,,,3.526708,3.646125,,,
wolfxl,hyperlinks,1.375833,1.464125,,,,3.495542,3.823708,,,
pylightxl,hyperlinks,,,,,,0.274125,0.42975,,,
xlrd,hyperlinks,,,,,,,,,,
pyexcel,hyperlinks,1.371459,1.717417,,,,1.325916,1.948,,,
xlwt,hyperlinks,,,,,,0.140458,0.155792,,,
pandas,hyperlinks,1.636584,1.953208,,,,1.407875,1.905583,,,
xlsxwriter-constmem,hyperlinks,,,,,,2.212792,2.559458,,,
openpyxl-readonly,hyperlinks,0.961,1.262375,,,,,,,,
polars,hyperlinks,0.403541,0.538542,,,,,,,,
tablib,hyperlinks,1.295458,1.510208,,,,1.30475,1.760208,,,
openpyxl,images,1.238542,1.538333,,,,1.950291,2.358833,,,
xlsxwriter,images,,,,,,2.972333,3.486542,,,
python-calamine,images,0.054583,0.056625,,,,,,,,
calamine,images,0.350084,0.4815,,,,,,,,
calamine-styled,images,0.356167,0.440542,,,,,,,,
rust_xlsxwriter,images,,,,,,2.923666,3.157709,,,
wolfxl,images,0.357959,0.445583,,,,2.908333,2.9945,,,
pylightxl,images,,,,,,0.263917,0.329625,,,
xlrd,images,,,,,,,,,,
pyexcel,images,1.393125,1.79475,,,,1.4335,1.975792,,,
xlwt,images,,,,,,0.132459,0.136167,,,
pandas,images,1.362209,1.600167,,,,1.71275,1.972209,,,
xlsxwriter-constmem,images,,,,,,2.242875,2.503792,,,
openpyxl-readonly,images,0.870375,1.154042,,,,,,,,
polars,images,0.256542,0.324167,,,,,,,,
tablib,images,1.046791,1.313667,,,,1.667042,2.326875,,,
openpyxl,pivot_tables,1.016958,1.277625,,,,1.458708,1.874625,,,
xlsxwriter,pivot_tables,,,,,,2.245334,2.706917,,,
python-calamine,pivot_tables,0.057084,0.060083,,,,,,,,
calamine,pivot_tables,0.372667,0.450958,,,,,,,,
calamine-styled,pivot_tables,0.355833,0.3885,,,,,,,,
rust_xlsxwriter,pivot_tables,,,,,,2.8565,3.004084,,,
wolfxl,pivot_tables,0.3595,0.366292,,,,2.883458,3.028875,,,
pylightxl,pivot_tables,0.882792,1.097167,,,,0.263292,0.299375,,,
xlrd,pivot_tables,,,,,,,,,,
pyexcel,pivot_tables,1.017416,1.327166,,,,1.367334,1.732792,,,
xlwt,pivot_tables,,,,,,0.134875,0.193459,,,
pandas,pivot_tables,1.222125,1.673709,,,,1.542167,1.924,,,
xlsxwriter-constmem,pivot_tables,,,,,,2.085875,2.583375,,,
openpyxl-readonly,pivot_tables,0.917334,1.19225,,,,,,,,
polars,pivot_tables,0.281375,0.345375,,,,,,,,
tablib,pivot_tables,0.896125,1.204375,,,,1.380375,1.680292,,,
openpyxl,comments,1.304208,1.601291,,,,1.985542,2.442375,,,
xlsxwriter,comments,,,,,,3.627708,4.422625,,,
python-calamine,comments,0.070917,0.075834,,,,,,,,
calamine,comments,0.420542,0.50375,,,,,,,,
calamine-styled,comments,0.901292,1.002833,,,,,,,,
rust_xlsxwriter,comments,,,,,,3.849875,4.022083,,,
wolfxl,comments,0.891958,1.058625,,,,3.941125,5.148375,,,
pylightxl,comments,1.271709,1.5415,,,,0.301916,0.365667,,,
xlrd,comments,,,,,,,,,,
pyexcel,comments,1.366625,1.792708,,,,1.500916,1.898,,,
xlwt,comments,,,,,,0.141666,0.156042,,,
pandas,comments,1.515417,1.9,,,,1.640625,2.02725,,,
xlsxwriter-constmem,comments,,,,,,1.860041,2.360167,,,
openpyxl-readonly,comments,0.907208,1.171375,,,,,,,,
polars,comments,0.282875,0.349667,,,,,,,,
tablib,comments,1.075917,1.341042,,,,1.47725,1.798792,,,
openpyxl,freeze_panes,1.527667,1.970292,,,,2.766375,3.494583,,,
xlsxwriter,freeze_panes,,,,,,3.02025,3.396375,,,
python-calamine,freeze_panes,0.065458,0.142125,,,,,,,,
calamine,freeze_panes,0.383625,0.412125,,,,,,,,
calamine-styled,freeze_panes,1.045,1.469875,,,,,,,,
rust_xlsxwriter,freeze_panes,,,,,,8.981667,12.341083,,,
wolfxl,freeze_panes,0.941167,1.127083,,,,8.410583,8.714084,,,
pylightxl,freeze_panes,,,,,,0.365167,0.516375,,,
xlrd,freeze_panes,,,,,,,,,,
pyexcel,freeze_panes,1.655167,2.094583,,,,2.733208,3.031208,,,
xlwt,freeze_panes,,,,,,0.19675,0.299125,,,
pandas,freeze_panes,2.213625,2.983625,,,,3.042958,3.884459,,,
xlsxwriter-constmem,freeze_panes,,,,,,2.900167,3.363333,,,
openpyxl-readonly,freeze_panes,1.098334,1.563958,,,,,,,,
polars,freeze_panes,0.596875,0.8625,,,,,,,,
tablib,freeze_panes,1.487666,1.858666,,,,2.613083,3.52375,,,
openpyxl,named_ranges,1.252625,1.758083,,,,1.878125,2.347459,,,
xlsxwriter,named_ranges,,,,,,2.480041,2.8535,,,
python-calamine,named_ranges,0.055542,0.060208,,,,,,,,
calamine,named_ranges,0.344625,0.397,,,,,,,,
calamine-styled,named_ranges,0.341166,0.409167,,,,,,,,
rust_xlsxwriter,named_ranges,,,,,,3.182542,3.330667,,,
wolfxl,named_ranges,0.346709,0.377458,,,,3.202083,3.317209,,,
pylightxl,named_ranges,,,,,,0.315792,0.417625,,,
xlrd,named_ranges,,,,,,,,,,
pyexcel,named_ranges,1.351208,1.808541,,,,1.7355,2.334,,,
xlwt,named_ranges,,,,,,0.164416,0.287875,,,
pandas,named_ranges,1.786375,2.20475,,,,2.196333,2.806625,,,
xlsxwriter-constmem,named_ranges,,,,,,2.583583,3.750625,,,
openpyxl-readonly,named_ranges,0.895125,1.054917,,,,,,,,
polars,named_ranges,0.46125,2.015625,,,,,,,,
tablib,named_ranges,1.24,1.511958,,,,1.918667,2.218458,,,
openpyxl,tables,1.613958,1.889416,,,,1.426291,1.862459,,,
xlsxwriter,tables,,,,,,2.054875,2.325875,,,
python-calamine,tables,0.058833,0.059542,,,,,,,,
calamine,tables,0.337375,0.3985,,,,,,,,
calamine-styled,tables,0.333375,0.392625,,,,,,,,
rust_xlsxwriter,tables,,,,,,2.976083,3.217792,,,
wolfxl,tables,0.358708,0.820292,,,,2.948708,3.320125,,,
pylightxl,tables,,,,,,0.273458,0.557625,,,
xlrd,tables,,,,,,,,,,
pyexcel,tables,2.105208,2.656208,,,,1.698875,2.42475,,,
xlwt,tables,,,,,,0.152375,0.25975,,,
pandas,tables,1.750292,2.302167,,,,1.499708,1.966125,,,
xlsxwriter-constmem,tables,,,,,,2.111041,2.513292,,,
openpyxl-readonly,tables,0.91525,1.095917,,,,,,,,
polars,tables,0.355417,0.410834,,,,,,,,
tablib,tables,1.338584,1.71175,,,,1.361166,1.647666,,,
