library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
tablib,background_colors,0.975333,1.029708,,,,1.205084,1.3455,,,
openpyxl,number_formats,1.029667,1.07525,,,,1.298833,1.444583,,,
xlsxwriter,number_formats,,,,,,1.607084,2.152125,,,
python-calamine,number_formats,0.056834,0.061917,,,,,,,,
calamine-styled,number_formats,0.090416,0.095541,,,,,,,,
rust_xlsxwriter,number_formats,,,,,,0.307333,0.34775,,,
wolfxl,number_formats,0.084708,0.095125,,,,0.28075,0.320333,,,
pylightxl,number_formats,0.977375,1.001875,,,,0.292292,0.316375,,,
xlrd,number_formats,,,,,,,,,,
pyexcel,number_formats,1.098416,1.245042,,,,1.240458,1.279917,,,
xlwt,number_formats,,,,,,0.193667,0.252125,,,
pandas,number_formats,1.185709,1.249958,,,,1.417291,1.656417,,,
xlsxwriter-constmem,number_formats,,,,,,1.71825,2.087708,,,
openpyxl-readonly,number_formats,0.872625,0.913417,,,,,,,,
polars,number_formats,0.240375,0.357625,,,,,,,,
tablib,number_formats,1.006459,1.033666,,,,1.236292,1.326,,,
openpyxl,alignment,1.194209,1.248416,,,,1.448,1.794916,,,
xlsxwriter,alignment,,,,,,1.797541,2.095583,,,
python-calamine,alignment,0.053833,0.058167,,,,,,,,
calamine-styled,alignment,0.094709,0.098333,,,,,,,,
rust_xlsxwriter,alignment,,,,,,0.358833,0.387084,,,
wolfxl,alignment,0.085417,0.092166,,,,0.340292,0.395333,,,
pylightxl,alignment,,,,,,0.31675,0.414291,,,
xlrd,alignment,,,,,,,,,,
pyexcel,alignment,1.236959,1.530583,,,,1.255542,1.419875,,,
xlwt,alignment,,,,,,0.236125,0.290541,,,
pandas,alignment,1.337458,1.4275,,,,1.427959,1.630583,,,
xlsxwriter-constmem,alignment,,,,,,1.756584,2.085875,,,
openpyxl-readonly,alignment,0.929333,1.0065,,,,,,,,
polars,alignment,0.254041,0.3325,,,,,,,,
tablib,alignment,1.174125,1.288292,,,,1.252625,1.3235,,,
openpyxl,borders,1.70125,2.191125,,,,2.622584,3.832166,,,
xlsxwriter,borders,,,,,,2.617584,3.346417,,,
python-calamine,borders,0.069042,0.076292,,,,,,,,
calamine-styled,borders,0.362584,0.385208,,,,,,,,
rust_xlsxwriter,borders,,,,,,0.471584,0.563917,,,
wolfxl,borders,0.35675,0.364708,,,,0.460417,0.551042,,,
pylightxl,borders,,,,,,0.493042,0.554083,,,
xlrd,borders,,,,,,,,,,
pyexcel,borders,1.891084,2.111792,,,,1.472292,1.909417,,,
xlwt,borders,,,,,,0.450917,0.554708,,,
pandas,borders,2.091583,2.264333,,,,1.758125,2.133708,,,
xlsxwriter-constmem,borders,,,,,,2.721459,3.300625,,,
openpyxl-readonly,borders,1.266709,1.559959,,,,,,,,
polars,borders,0.23675,0.295,,,,,,,,
tablib,borders,1.678708,2.270125,,,,1.403834,1.461209,,,
openpyxl,dimensions,0.939667,0.968041,,,,1.216792,1.289958,,,
xlsxwriter,dimensions,,,,,,1.523167,1.862917,,,
python-calamine,dimensions,0.062,0.06425,,,,,,,,
calamine-styled,dimensions,0.08125,0.084667,,,,,,,,
rust_xlsxwriter,dimensions,,,,,,0.281333,0.310667,,,
wolfxl,dimensions,0.072833,0.084125,,,,0.28325,0.322917,,,
pylightxl,dimensions,0.914334,0.92625,,,,0.236542,0.247916,,,
xlrd,dimensions,,,,,,,,,,
pyexcel,dimensions,1.012916,1.084833,,,,1.191375,1.424375,,,
xlwt,dimensions,,,,,,0.132209,0.140834,,,
pandas,dimensions,1.152166,1.1955,,,,1.226416,1.335125,,,
xlsxwriter-constmem,dimensions,,,,,,1.706667,2.187959,,,
openpyxl-readonly,dimensions,0.796208,0.846375,,,,,,,,
polars,dimensions,0.3015,0.350125,,,,,,,,
tablib,dimensions,0.9505,1.035667,,,,1.167208,1.248541,,,
openpyxl,multiple_sheets,1.253833,1.289375,,,,1.843375,2.217584,,,
xlsxwriter,multiple_sheets,,,,,,2.1495,2.563208,,,
python-calamine,multiple_sheets,0.062167,0.063791,,,,,,,,
calamine-styled,multiple_sheets,0.062291,0.063792,,,,,,,,
rust_xlsxwriter,multiple_sheets,,,,,,0.365458,0.403166,,,
wolfxl,multiple_sheets,0.055917,0.059292,,,,0.3625,0.386166,,,
pylightxl,multiple_sheets,1.305334,1.329542,,,,0.340042,0.441542,,,
xlrd,multiple_sheets,,,,,,,,,,
pyexcel,multiple_sheets,1.356958,1.452916,,,,1.86975,2.2145,,,
xlwt,multiple_sheets,,,,,,0.174458,0.210291,,,
pandas,multiple_sheets,1.677625,1.786333,,,,2.163667,2.525417,,,
xlsxwriter-constmem,multiple_sheets,,,,,,2.727375,4.069,,,
openpyxl-readonly,multiple_sheets,0.96275,1.045833,,,,,,,,
polars,multiple_sheets,0.511792,0.6205,,,,,,,,
tablib,multiple_sheets,1.259042,1.428541,,,,1.824917,2.062,,,
openpyxl,merged_cells,1.22625,1.245042,,,,1.42,1.531208,,,
xlsxwriter,merged_cells,,,,,,1.677958,1.97025,,,
python-calamine,merged_cells,0.060125,0.063958,,,,,,,,
calamine-styled,merged_cells,0.200916,0.215417,,,,,,,,
rust_xlsxwriter,merged_cells,,,,,,0.295958,0.339542,,,
wolfxl,merged_cells,0.182334,0.206166,,,,0.278542,0.303125,,,
pylightxl,merged_cells,0.989375,1.033791,,,,0.2795,0.297416,,,
xlrd,merged_cells,,,,,,,,,,
pyexcel,merged_cells,1.289458,1.337959,,,,1.220625,1.293958,,,
xlwt,merged_cells,,,,,,0.189833,0.198958,,,
pandas,merged_cells,1.20325,1.279708,,,,1.418667,1.532791,,,
xlsxwriter-constmem,merged_cells,,,,,,1.656791,2.099458,,,
openpyxl-readonly,merged_cells,0.86575,0.907292,,,,,,,,
polars,merged_cells,0.228292,0.305583,,,,,,,,
tablib,merged_cells,1.008,1.172917,,,,1.218541,1.283166,,,
openpyxl,conditional_formatting,1.374125,1.818166,,,,1.740417,2.173666,,,
xlsxwriter,conditional_formatting,,,,,,1.751125,2.136209,,,
python-calamine,conditional_formatting,0.0525,0.054083,,,,,,,,
calamine-styled,conditional_formatting,0.206625,0.2145,,,,,,,,
rust_xlsxwriter,conditional_formatting,,,,,,0.346041,0.431208,,,
wolfxl,conditional_formatting,0.207917,0.2165,,,,0.33,0.364333,,,
pylightxl,conditional_formatting,,,,,,0.234042,0.264542,,,
xlrd,conditional_formatting,,,,,,,,,,
pyexcel,conditional_formatting,1.413792,1.481709,,,,1.460667,1.560792,,,
xlwt,conditional_formatting,,,,,,0.148209,0.154584,,,
pandas,conditional_formatting,1.599667,1.749291,,,,1.515,1.562958,,,
xlsxwriter-constmem,conditional_formatting,,,,,,1.870917,2.274541,,,
openpyxl-readonly,conditional_formatting,0.91875,1.145833,,,,,,,,
polars,conditional_formatting,0.368958,0.445916,,,,,,,,
tablib,conditional_formatting,1.321625,1.449833,,,,1.438708,1.865,,,
openpyxl,data_validation,1.2385,1.283042,,,,1.296625,1.575542,,,
xlsxwriter,data_validation,,,,,,1.554042,1.825,,,
python-calamine,data_validation,0.051708,0.0535,,,,,,,,
calamine-styled,data_validation,0.151708,0.159375,,,,,,,,
rust_xlsxwriter,data_validation,,,,,,0.264792,0.289583,,,
wolfxl,data_validation,0.147667,0.159083,,,,0.265917,0.28975,,,
pylightxl,data_validation,,,,,,0.239416,0.251833,,,
xlrd,data_validation,,,,,,,,,,
pyexcel,data_validation,1.298666,1.773041,,,,1.173833,1.223791,,,
xlwt,data_validation,,,,,,0.1255,0.134667,,,
pandas,data_validation,1.571125,1.663167,,,,1.247208,1.289958,,,
xlsxwriter-constmem,data_validation,,,,,,1.581917,1.915791,,,
openpyxl-readonly,data_validation,0.859875,0.9315,,,,,,,,
polars,data_validation,0.436583,0.565959,,,,,,,,
tablib,data_validation,1.212792,1.250333,,,,1.151833,1.203125,,,
openpyxl,hyperlinks,1.163542,1.211792,,,,1.283125,1.463792,,,
xlsxwriter,hyperlinks,,,,,,1.788875,2.400166,,,
python-calamine,hyperlinks,0.05125,0.051875,,,,,,,,
calamine-styled,hyperlinks,0.224917,0.23525,,,,,,,,
rust_xlsxwriter,hyperlinks,,,,,,0.317584,0.39925,,,
wolfxl,hyperlinks,0.216167,0.239334,,,,0.300875,0.324666,,,
pylightxl,hyperlinks,,,,,,0.260833,0.291083,,,
xlrd,hyperlinks,,,,,,,,,,
pyexcel,hyperlinks,1.267667,1.331167,,,,1.186,1.326375,,,
xlwt,hyperlinks,,,,,,0.120917,0.127458,,,
pandas,hyperlinks,1.452792,1.514084,,,,1.2115,1.303041,,,
xlsxwriter-constmem,hyperlinks,,,,,,1.754917,2.348667,,,
openpyxl-readonly,hyperlinks,0.879333,0.902291,,,,,,,,
polars,hyperlinks,0.358375,0.48125,,,,,,,,
tablib,hyperlinks,1.159875,1.261667,,,,1.17525,1.206333,,,
openpyxl,images,1.156292,1.208,,,,1.685542,1.909541,,,
xlsxwriter,images,,,,,,2.469042,2.786875,,,
python-calamine,images,0.052792,0.057958,,,,,,,,
calamine-styled,images,0.049875,0.060125,,,,,,,,
rust_xlsxwriter,images,,,,,,0.287375,0.353416,,,
wolfxl,images,0.05725,0.061292,,,,0.271292,0.301375,,,
pylightxl,images,,,,,,0.222834,0.236333,,,
xlrd,images,,,,,,,,,,
pyexcel,images,1.208791,1.293792,,,,1.184167,1.232792,,,
xlwt,images,,,,,,0.119875,0.1285,,,
pandas,images,1.110667,1.2695,,,,1.235292,1.306041,,,
xlsxwriter-constmem,images,,,,,,1.504792,1.855666,,,
openpyxl-readonly,images,0.794292,0.890292,,,,,,,,
polars,images,0.232167,0.335125,,,,,,,,
tablib,images,0.944041,1.053959,,,,1.148375,1.185042,,,
openpyxl,pivot_tables,0.854625,0.889209,,,,1.181458,1.925041,,,
xlsxwriter,pivot_tables,,,,,,1.672875,2.29375,,,
python-calamine,pivot_tables,0.051167,0.056459,,,,,,,,
calamine-styled,pivot_tables,0.050166,0.054375,,,,,,,,
rust_xlsxwriter,pivot_tables,,,,,,0.251333,0.336667,,,
wolfxl,pivot_tables,0.049166,0.051666,,,,0.244292,0.273709,,,
pylightxl,pivot_tables,0.822917,0.851625,,,,0.258417,0.269666,,,
xlrd,pivot_tables,,,,,,,,,,
pyexcel,pivot_tables,0.905209,0.948459,,,,1.167958,1.257791,,,
xlwt,pivot_tables,,,,,,0.121875,0.127708,,,
pandas,pivot_tables,1.028459,1.146375,,,,1.247584,1.306333,,,
xlsxwriter-constmem,pivot_tables,,,,,,1.64275,1.9055,,,
openpyxl-readonly,pivot_tables,0.746792,0.8105,,,,,,,,
polars,pivot_tables,0.246459,0.330541,,,,,,,,
tablib,pivot_tables,0.863,0.92475,,,,1.186584,1.4685,,,
openpyxl,comments,1.102917,1.157833,,,,1.423792,1.533875,,,
xlsxwriter,comments,,,,,,2.018958,2.369583,,,
python-calamine,comments,0.063542,0.065875,,,,,,,,
calamine-styled,comments,0.212042,0.223334,,,,,,,,
rust_xlsxwriter,comments,,,,,,0.405,0.467458,,,
wolfxl,comments,0.2,0.223291,,,,0.358541,0.387292,,,
pylightxl,comments,1.137958,1.198292,,,,0.239458,0.467917,,,
xlrd,comments,,,,,,,,,,
pyexcel,comments,1.176542,1.245625,,,,1.166917,1.228333,,,
xlwt,comments,,,,,,0.121125,0.129083,,,
pandas,comments,1.167709,1.341,,,,1.237417,1.316541,,,
xlsxwriter-constmem,comments,,,,,,1.783792,2.423208,,,
openpyxl-readonly,comments,0.844667,0.878583,,,,,,,,
polars,comments,0.234708,0.307167,,,,,,,,
tablib,comments,0.950333,1.0375,,,,1.150042,1.2135,,,
openpyxl,freeze_panes,1.333291,1.780625,,,,1.978875,2.058917,,,
xlsxwriter,freeze_panes,,,,,,2.015792,2.47775,,,
python-calamine,freeze_panes,0.049459,0.054458,,,,,,,,
calamine-styled,freeze_panes,0.221792,0.233792,,,,,,,,
rust_xlsxwriter,freeze_panes,,,,,,0.976041,1.047417,,,
wolfxl,freeze_panes,0.214584,0.226708,,,,0.967708,0.9925,,,
pylightxl,freeze_panes,,,,,,0.299916,0.332625,,,
xlrd,freeze_panes,,,,,,,,,,
pyexcel,freeze_panes,1.44775,1.898667,,,,2.032333,2.5205,,,
xlwt,freeze_panes,,,,,,0.176542,0.201375,,,
pandas,freeze_panes,1.676209,1.891708,,,,2.087292,2.234791,,,
xlsxwriter-constmem,freeze_panes,,,,,,2.411041,2.889792,,,
openpyxl-readonly,freeze_panes,0.956084,0.995583,,,,,,,,
polars,freeze_panes,0.473875,0.574292,,,,,,,,
tablib,freeze_panes,1.306083,1.387042,,,,2.0355,2.610792,,,
openpyxl,named_ranges,1.067375,1.316958,,,,1.415583,1.475417,,,
xlsxwriter,named_ranges,,,,,,1.670667,2.024542,,,
python-calamine,named_ranges,0.052792,0.055,,,,,,,,
calamine-styled,named_ranges,0.049958,0.053208,,,,,,,,
rust_xlsxwriter,named_ranges,,,,,,0.326042,0.380042,,,
wolfxl,named_ranges,0.045541,0.046875,,,,0.309542,0.495625,,,
pylightxl,named_ranges,,,,,,0.250167,0.31375,,,
xlrd,named_ranges,,,,,,,,,,
pyexcel,named_ranges,1.185208,1.232708,,,,1.439958,1.527375,,,
xlwt,named_ranges,,,,,,0.144875,0.216334,,,
pandas,named_ranges,1.369875,1.396334,,,,1.526959,1.632417,,,
xlsxwriter-constmem,named_ranges,,,,,,1.836875,2.157292,,,
openpyxl-readonly,named_ranges,0.842916,0.940875,,,,,,,,
polars,named_ranges,0.434167,0.577542,,,,,,,,
tablib,named_ranges,1.091833,1.147542,,,,1.421834,1.48375,,,
openpyxl,tables,1.391625,1.462667,,,,1.179542,1.572584,,,
xlsxwriter,tables,,,,,,1.525083,1.7865,,,
python-calamine,tables,0.055,0.057375,,,,,,,,
calamine-styled,tables,0.054667,0.055333,,,,,,,,
rust_xlsxwriter,tables,,,,,,0.261542,0.331583,,,
wolfxl,tables,0.056083,0.05825,,,,0.273791,0.303125,,,
pylightxl,tables,,,,,,0.268375,0.331125,,,
xlrd,tables,,,,,,,,,,
pyexcel,tables,1.737708,1.831958,,,,1.162375,1.233083,,,
xlwt,tables,,,,,,0.126209,0.134417,,,
pandas,tables,1.499583,1.675833,,,,1.23625,1.359208,,,
xlsxwriter-constmem,tables,,,,,,1.537125,1.831875,,,
openpyxl-readonly,tables,0.863625,0.917292,,,,,,,,
polars,tables,0.341709,0.393375,,,,,,,,
tablib,tables,1.2515,1.30225,,,,1.162583,1.254291,,,
